id,name,text,trans
produce_events3024010024,にちか,──────────,──────────
produce_events3024010028,にちか,『──────おねえちゃーん……！』,『──พี่คะ……！』
produce_events30240100210,にちか,『ねぇ、おねえちゃーん──────』,『นี่ พี่คะ───』
produce_events30240100214,ダンストレーナー,今回のところは半日オフってことで────,วันนี้หยุดครึ่งวันก็แล้วกัน───
produce_events30240100217,にちか,『──────ブランコ、あいてるよー……！』,『──ตรงนั้นมีชิงช้าด้วยล่ะ……！』
produce_events30240100221,ダンストレーナー,────プロデューサークンの許可ももらってるから\n休んで何かしてこーい！,"──โปรดิวเซอร์คุงก็ขอมาด้วย
ไปหยุดพักหาอะไรทำซะ！"
produce_events30240100224,にちか,『ねーえー……！\nブランコー……！』,『นี่ー……！ชิงช้า……！』
produce_events30240100228,にちか,ブランコでも…………乗って帰ろっかなー……,"ว่าจะนั่งชิงช้า……
แล้วค่อยกลับน่ะค่ะ……"
produce_events30240100231,にちか,──────────…………,──────────…………
produce_events30240100234,にちか,ないなー…………,ไม่มีเลยนะ……
produce_events30240100236,子ども,────ねぇママ、ブランコのるー！,──นี่ หม่าม้า จะนั่งชิงช้าー！
produce_events30240100238,母親,えーっ\nダメー。もうおうち帰る時間ー,"เอ๊ะ ไม่ได้หรอก
ได้เวลากลับบ้านแล้วนะー"
produce_events30240100239,子ども,えーっ,เอ๋
produce_events30240100246,にちか,────────ないなー……,───ไม่มีเลยนะ……
produce_events30240100249,にちか,……意味わかんないから、ガチで,"เพราะไม่เข้าใจ
ก็เลยพูดไปจริงๆ"
produce_events30240100251,にちか,意味わかんないから\nガチで,"เพราะไม่เข้าใจ
ก็เลยพูดไปจริงๆ"
produce_events30240100252,にちか,ブランコとか,นั่งชิงช้า
produce_events30240100257,にちか,──────美琴さん……,───มิโคโตะซัง……
produce_events30240100259,にちか,帰った……かな……,จะกลับรึยังนะ……
produce_events30240100264,はづき,『──────帰るよ～……\nもう暗いし……』,"『─กลับกันเถอะ～……
จะมืดแล้วนะ……』"
produce_events30240100266,にちか,『えーっ\nちょっとだけじゃーん……！』,『เอ๋ แค่แป้บเดียวเอง……！』
produce_events30240100269,はづき,『……\nまたすぐ来れるんだし～……』,"『……
ไว้ค่อยมาวันหลังอีกก็ได้～……』"
produce_events30240100272,にちか,……,……
produce_events30240100277,にちか,『えーっ\nまたとかじゃなくてー……！』,『เอ๋ー ไม่เอาวันหลังอีกแล้วสิ……！』
produce_events30240100280,にちか,『帰ったら終わるじゃん今日ー……！』,『ถ้ากลับไป วันนี้ก็หมดแล้วนี่นา……！』
produce_events30240100284,にちか,──────…………,──────…………
produce_events30240100286,にちか,終わらせたけど\n今日は,"ถึงจะจบไปแล้ว
วันนี้"
produce_events30240100288,にちか,お前が,เธอก็
produce_events30240100290,美琴,……スーパーは、あっち？,……ซูเปอร์ อยู่ทางนั้นเหรอ？
produce_events30240100294,にちか,────────っ……,────────……
produce_events30240100298,にちか,…………\n美琴さん…………,"…………
มิโคโตะซัง……"
produce_events302401002102,美琴,……うん,……อืม
produce_events302401002104,にちか,────────えっ,────เอ๊ะ
produce_events302401002107,にちか,えっ、み──────,เอ๊ะ มิ───
produce_events302401002111,にちか,美琴さん………………！？,มิโคโตะซัง………！？
produce_events302401002113,美琴,……,……
produce_events302401002114,にちか,えっとっ、あの……\n事務所は……,"เอ่อ คือว่า……
แล้วสำนักงาน……"
produce_events302401002116,美琴,……？\n行って、戻るところ,"……？
ไปมาแล้วกลับมาแล้วน่ะ"
produce_events302401002118,にちか,あ、で、ですよね、そっか……！\n書類受け取るだけ……ですもんね……！,"อะ น่ะ นั่นสินะคะ แบบนี้เอง……！
แค่แวะไปเอาเอกสารสินะคะ……！"
produce_events302401002119,美琴,うん,อืม
produce_events302401002120,にちか,……っと\n帰り、タクシー……とか、呼べなかったんです……？,"……เอ่อ
จะให้เรียกแท็กซี่ให้มั้ยคะ……？"
produce_events302401002122,美琴,……呼べないということはないと思うけど,……คิดว่าไม่จำเป็นต้องเรียกก็ได้นะ
produce_events302401002128,にちか,えっと,คือว่า
produce_events302401002130,にちか,えっと？,คือว่า？
produce_events302401002136,美琴,急がないし,ไม่ได้รีบนี่นา
produce_events302401002137,美琴,することも……思いつかないから,เลยไม่รู้ว่าจะนั่งทำไม……
produce_events302401002142,にちか,……\nあ、あの……はい…………,"……อะ
เอ่อ…… ค่ะ………"
produce_events302401002143,美琴,……,……
produce_events302401002144,にちか,……\n私も……です,"……
ฉันก็เหมือนกันค่ะ……"
produce_events302401002146,にちか,私も、どうしてたらいいか思いつかなくて……\nなんていうか……ここで、ぼんやりしてて──────,"ฉันก็ไม่รู้ว่าจะทำอะไรดี……
ก็เลยมาเรื่อยเปื่อยที่นี่น่ะค่ะ……"
produce_events302401002155,にちか,ソレ,นั่นแหละ
produce_events302401002156,にちか,デ？,แล้ว？
produce_events302401002162,にちか,────────ブランコ……,────ชิงช้า……
produce_events302401002165,にちか,ブランコ……乗りません──────？,นั่งชิงช้า……ด้วยกันมั้ยคะ──？
produce_events302401002172,にちか,──────あ、あの、とりあえず座るというか…………！,"───อะ คือว่า
ยังไงก็นั่งกันก่อน……！"
produce_events302401002181,美琴,────うん,───อืม
produce_events302401002189,美琴,……,……
produce_events302401002190,にちか,……,……
produce_events302401002193,美琴,……,……
produce_events302401002194,にちか,……っ\nえっと……！,"……
คือว่า……！"
produce_events302401002195,にちか,漕いだりとか────,ลองแกว่งสักหน่อย──
produce_events302401002201,美琴,……？,……？
produce_events302401002208,にちか,──────いっか、そんなの,───ช่างเถอะ เรื่องนั้นน่ะ
produce_events302401002211,にちか,あのっ、なんでもないです……\nえっと…………,"คือว่า ไม่มีอะไรค่ะ……
แบบว่า……"
produce_events302401002217,美琴,……何かをする？,……หาอะไรทำกันมั้ย？
produce_events302401002222,にちか,────────ヨカッタ,───ดีจังเลย
produce_events302401002226,にちか,は、はい──────！,คะ ค่ะ───！
produce_events302401002229,にちか,よかった\nまだ、今日は,"ดีจังเลย
ที่วันนี้ยัง"
produce_events302401002231,にちか,今日が\n続いてて,"วันนี้
ยังดำเนินต่อไปอยู่"
produce_events302401002233,にちか,『帰ったら終わるじゃん今日ー……！』,『ถ้ากลับไป วันนี้ก็หมดแล้วนี่นา……！』
produce_events302401002238,にちか,──────あのっ……,───คือว่า……
produce_events302401002245,にちか,明日に続いてて,ดำเนินต่อไปถึงวันพรุ่งนี้
produce_events302401002249,にちか,はい────────！,ค่ะ────！
info,produce_events/302401002.json,,
Translator,,,
