id,name,text,trans
produce_events3024010014,にちか,──────────,──────────
produce_events30240100112,ダンストレーナー,────５、６、７、８\nはーい、オッケー！,"────５、６、７、８
เอาล่ะ โอเคー！"
produce_events30240100114,にちか＆美琴,────……,────……
produce_events30240100116,ダンストレーナー,今日はこんなとこかなー\nお疲れ様でしたっ,"วันนี้พอแค่นี้ล่ะนะ
เหนื่อยกันหน่อยล่ะ
"
produce_events30240100117,にちか,……えっ\nあ、あれっ……！　あの────,"……เอ๊ะ
อะ เอ๊ะ……！ คือว่า────"
produce_events30240100120,にちか,────すみません……\nこんな一瞬で終わるって、あの、思わなくて……,"──ขอโทษค่ะ……
ไม่นึกว่าจะฝึกซ้อมเสร็จเร็วแบบนี้"
produce_events30240100122,美琴,……このまま残ろう\nもう少し調整して────,"……จะอยู่ต่อมั้ย
ฉันอยากฝึกอีกหน่อย──
"
produce_events30240100124,ダンストレーナー,だめー！,ไม่ได้ー！
produce_events30240100128,にちか＆美琴,──────っ,──────
produce_events30240100129,ダンストレーナー,そうやって毎回毎回、本番前日も鬼詰めするの\n私ほんとは好きじゃないのー,"ครูไม่ชอบที่จะให้ฝึกซ้อมหนักทุกวัน
ไปจนถึงก่อนวันแสดงจริงหรอกนะ"
produce_events30240100130,美琴,……,……
produce_events30240100131,ダンストレーナー,だいたいさ、私から見て不足はないって言ってるじゃん？\n信じてもらえてないのかなーって思って、地味にショック,"ที่สำคัญ ครูเองก็ไม่ได้บอกว่ามีปัญหาอะไรนี่นา？
ไม่ยอมเชื่อใจกันแบบนี้ ค่อนข้างช็อคเลยล่ะ"
produce_events30240100132,にちか＆美琴,────,────
produce_events30240100137,ダンストレーナー,──ふふっ\nっていうのはごめん冗談。ふたりの気持ちもよくわかるから,"──หึหึ ล้อเล่นน่ะ ขอโทษนะ
ก็เข้าใจความรู้สึกของทั้งสองคนอยู่หรอก"
produce_events30240100139,美琴,……,……
produce_events30240100141,ダンストレーナー,──────でも\n本番前に休むっていう勇気も、これから必要だと思うんだぁ,"──แต่หลังจากนี้อยากให้คิดว่า
การหยุดพักก่อนวันแสดงก็เป็นสิ่งสำคัญด้วยนะ"
produce_events30240100148,ダンストレーナー,練習はもちろん、あなたたちを裏切らないはずよ\n……けど、ステージで見せたいのは練習じゃないでしょう？,"การฝึกซ้อมน่ะ ไม่มีทางหักหลังพวกเธอแน่นอน
แต่ก็อยากแสดงการฝึกให้เห็นบนเวทีด้วยใช่มั้ยล่ะ？"
produce_events30240100153,にちか,……,……
produce_events30240100155,ダンストレーナー,今日までのものをいちど突き放す時間が\nほんとはもっと必要,"อยากให้ใส่ใจกับเวลาที่เคยเสียไป
จนมาถึงตอนนี้ด้วยนะ"
produce_events30240100158,美琴,……,……
produce_events30240100160,ダンストレーナー,でも、ま……\n今回のところは半日オフってことで────,"แต่ก็เอาเถอะ……
วันนี้หยุดครึ่งวันก็แล้วกัน──"
produce_events30240100162,ダンストレーナー,────プロデューサークンの許可ももらってるから\n休んで何かしてこーい！,"──โปรดิวเซอร์คุงก็ขอมาด้วย
ไปหยุดพักหาอะไรทำซะ！"
produce_events30240100166,にちか＆美琴,は、はい…………！,คะ ค่ะ……！
produce_events30240100178,にちか,────え、えっと……,──อะ เอ่อ……
produce_events30240100180,にちか,美琴さん、えっと……\n事務所寄った後、帰られます……よね……？,"มิโคโตะซัง คือว่า……
พอแวะไปสำนักงานแล้วจะกลับเลยสินะคะ…？"
produce_events30240100181,美琴,……うん,……อืม
produce_events30240100183,美琴,スタジオに行くつもりだったけど……,ว่าจะไปที่สตูดิโอน่ะ……
produce_events30240100185,にちか,で、ですよね……,น่ะ นั่นสินะคะ……
produce_events30240100186,にちか,練習禁止……！　ってなっちゃうと……\n私もスーパー寄るとかしか……,"ห้ามฝึกซ้อม…！พอโดนบอกแบบนั้น…
ฉันเลยว่าจะแวะไปซูเปอร์หน่อยน่ะค่ะ……"
produce_events30240100187,美琴,……,……
produce_events30240100192,にちか,帰……られ,ตอนกลับ……
produce_events30240100194,にちか,ますよねー……,น่ะค่ะ……
produce_events30240100199,ダンストレーナー,────────休んで何かしてこーい！,───ไปหยุดพักหาอะไรทำซะ！
produce_events302401001101,off,『何か』,『อะไรสักอย่าง』
produce_events302401001105,にちか,────あっ、ていうか美琴さんこんなとこまで歩きで……\nタクシー呼びますね、それかプロデューサーさん────！,"อ๊ะ จะว่าไป ให้มิโคโตะซังเดินมาถึงขนาดนี้ได้ไง……
ฉันเรียกแท็กซี่ให้นะคะ แล้วค่อยให้โปรดิวเซอร์ซัง─！"
produce_events302401001106,美琴,……ううん、大丈夫,……ไม่ต้องหรอก
produce_events302401001108,美琴,急ぐ必要はないから,ไม่ต้องรีบร้อนอะไรนี่นา
produce_events302401001110,美琴,練習以外に……やることがないから,ไม่มีอะไรให้ทำนอกจากฝึกซ้อมอยู่แล้ว
produce_events302401001113,にちか,……\nりょ、了解です、そしたら……,"……ขะ เข้าใจแล้วค่ะ
ถ้างั้น……"
produce_events302401001114,美琴,うん,อืม
produce_events302401001117,美琴,……スーパーは、あっち？,……ซูเปอร์ อยู่ทางนั้นเหรอ？
produce_events302401001124,off,『何か』,『อะไรสักอย่าง』
produce_events302401001127,にちか,……\nあの、は──────,……เอ่อ คือ───
produce_events302401001131,にちか,はい\nって、言えば,ถ้าบอกว่า ใช่ ล่ะก็
produce_events302401001133,にちか,解散,ต้องแยกทางกันแน่
produce_events302401001140,にちか,────っ、すみませんいえ……！\n……その、か────,"──ไม่ใช่ค่ะ ขอโทษด้วยค่ะ……！
……คือว่า คะ──"
produce_events302401001142,にちか,帰ら　レ\nマス　ヨネー,"จะ　กลับ
เลย　สินะ"
produce_events302401001145,にちか,帰ったら……どうしようかなー……って\nその、スーパーから────,"คิดว่าพอกลับไปแล้วจะทำอะไรดีน่ะค่ะ…
คือว่า หลังจากไปซูเปอร์น่ะค่ะ──"
produce_events302401001151,にちか,な二　カ,อะไร　สักอย่าง
produce_events302401001155,にちか,──────……,──────……
produce_events302401001158,にちか,ナニカ\nナにカ　な二カナニカ,"อะไรสักอย่าง
อะไรสักอย่าง　อะไรสักอย่าง"
produce_events302401001162,美琴,……？,……？
produce_events302401001167,にちか,い、いえ──────,ปะ เปล่าค่ะ───
produce_events302401001172,にちか,──────ぶ、ブランコ……！,──ชะ ชิงช้า……！
produce_events302401001174,にちか,ブランコでも…………乗って帰ろっかなー……,"ว่าจะนั่งชิงช้า……
แล้วค่อยกลับน่ะค่ะ……"
produce_events302401001179,にちか,は？,ฮะ？
produce_events302401001183,にちか,……な、なんてー,……ละ ล้อเล่นน่ะค่ะ
produce_events302401001186,美琴,……そうなんだ,……งั้นเหรอ
produce_events302401001188,にちか,……っ\nあっ、いえ……すみませんえっと、だから何っていう……！,"……อะ เอ่อ ขอโทษค่ะ
คือว่า แค่จะหาอะไรทำน่ะค่ะ……！"
produce_events302401001195,美琴,……それじゃ────,……งั้นไว้เจอกันนะ──
produce_events302401001196,にちか,は、はい──────！,คะ ค่ะ──！
produce_events302401001197,美琴,────明日,──พรุ่งนี้
produce_events302401001198,にちか,──っ,──
produce_events302401001201,美琴,いいステージにしよう,ทำให้เป็นเวทีที่ดีที่สุดกันนะ
produce_events302401001207,にちか,帰ラ　レ,จะ　กลับ
produce_events302401001209,にちか,マス\nよネー,"เลย
สินะ"
produce_events302401001212,にちか,──────────あ…………,────อะ………
produce_events302401001215,にちか,アハハ,อะฮะฮะ
produce_events302401001218,にちか,……あ、あのっ,……อะ คือว่า
produce_events302401001224,にちか,はい────────,ค่ะ────
info,produce_events/302401001.json,,
Translator,,,
