id,name,text,trans
produce_events3020012022,小糸,と、透ちゃん\n夏休みの予定とか考えた……？,"ทะ โทรุจัง
คิดเรื่องที่จะทำในวันหยุดฤดูร้อนรึยัง……？"
produce_events3020012023,透,え\nあー……,"เอ๊ะ
อ้อー……"
produce_events3020012024,透,……っ,……
produce_events3020012026,小糸,え……？,เอ๊ะ……？
produce_events3020012028,透,んー,อืมー
produce_events3020012029,透,小糸ちゃんは？,โคอิโตะจังล่ะ？
produce_events30200120211,小糸,わ、わたしは……\nお仕事の合間に色々入れたいなって……！,"ฉะ ฉันอยาก……
จะทำหลายๆอย่างตอนพักจากงานน่ะ……！"
produce_events30200120212,透,おー,โอ้ー
produce_events30200120213,小糸,どんどん暑くなってるから……\n涼しいところに行くのとか、いいよね……！,"ค่อยๆร้อนมากขึ้นแล้ว……
ถ้าได้ไปที่เย็นๆก็คงดีนะ……！"
produce_events30200120216,透,……っ,……
produce_events30200120217,小糸,え……？,เอ๊ะ……？
produce_events30200120218,透,……てー……,……เจ็บー
produce_events30200120222,透,あ……\nねー,"อะ……
นี่ー"
produce_events30200120223,透,寄ってもいい？\nドラッグストア,"ขอแวะก่อนได้มั้ย？
ร้านขายยา"
produce_events30200120227,撮影スタッフ,それじゃ、ノクチルのみなさんは\n各々、好きなポーズ取ってくださいー,"ถ้างั้น noctchill ทุกคน
ขอให้โพสท่าต่างๆที่ชอบได้เลยนะครับ"
produce_events30200120228,円香,はい,ค่ะ
produce_events30200120230,小糸,ぴぇ……！\nむ、難しいねこれ……,"เปี๊ยะ……！
ยะ ยากเหมือนกันนะ……"
produce_events30200120231,撮影スタッフ,ポーズ取るだけで大丈夫ですよー！\n転ばないようにお気をつけて！,"แค่โพสท่าไว้เฉยๆก็ได้ครับー！
ระวังอย่าให้ล้มด้วยนะครับ！"
produce_events30200120232,小糸,は、はい……！,คะ ค่ะ……！
produce_events30200120238,雛菜,あは～\n透先輩いい感じだね～,"อ่าฮ๊า～
รุ่นพี่โทรุดูดีเลยนี่นา～"
produce_events30200120240,透,んー,อืมー
produce_events30200120241,透,イエー,เย้ー
produce_events30200120242,小糸,と、透ちゃん……\n危ないよ……！,"ทะ โทรุจัง……
ระวังด้วยนะ……！"
produce_events30200120243,透,ふふっ、んー,หุหุ อืมー
produce_events30200120244,透,乗れそう,เล่นได้อยู่นะเนี่ย
produce_events30200120249,撮影スタッフ,あー\n浅倉さーん！,"อ๊ะー
อาซาคุระซัง！"
produce_events30200120250,撮影スタッフ,振りでいいんですよー\n振りで……！,"ดูดีมากเลยครับー
ค้างไว้แบบนั้น……！"
produce_events30200120252,off,イケイケだねー\n今年の夏は,"เอาเรื่องเลยนี่นา
ฤดูร้อนปีนี้น่ะ"
produce_events30200120254,透,来い,มาเลย
produce_events30200120255,透,素敵な夏,ฤดูร้อนที่ยอดเยี่ยม
produce_events30200120258,小糸＆雛菜,………………！,………………！
produce_events30200120259,透,────────っ,────────
produce_events30200120262,撮影スタッフ,ちょっ\n浅倉さん……！,"เดี๋ยว
อาซาคุระซัง……！"
produce_events30200120264,円香＆小糸＆雛菜,………………,………………
produce_events30200120265,透,……てー,……เจ็บー
produce_events30200120272,小糸,透ちゃん\n先買ったよ……！,"โทรุจัง
ซื้อมาแล้วล่ะ……！"
produce_events30200120274,透,あ、うん,อะ อืม
produce_events30200120276,小糸,それ、湿布……？,นั่นยาประคบเหรอ……？
produce_events30200120279,透,んー\n足りるかな,"อืมー
จะพอมั้ยนะ"
produce_events30200120280,透,筋肉痛,แก้ปวดกล้ามเนื้อ
produce_events30200120282,小糸,う、うん……\nこれだけあれば……！,"อะ อืม……
มีแค่นี้ก็คงพอแล้วล่ะ……！
"
produce_events30200120283,店員,いらっしゃいませー,ยินดีต้อนรับค่ะ
produce_events30200120285,小糸,スケボーの……時のだよね？,ตอนที่ล้ม……สเก็ตบอร์ดเหรอ？
produce_events30200120286,透,うん,อืม
produce_events30200120287,店員,次、お待ちのお客様\nどうぞー,เชิญลูกค้าท่านต่อไปค่ะ
produce_events30200120288,透,なんか、やばくて,แบบว่า แย่เลยล่ะ
produce_events30200120293,小糸,……あ,……อ๊ะ
produce_events30200120295,小糸,アイスも買うんだね……！,ซื้อไอติมมาด้วยสินะ……！
produce_events30200120296,透,んー\nふふっ,"อืม
หุหุ"
produce_events30200120297,店員,お待たせしました\n雑貨１点、食品２点で────,"ขออภัยที่ให้คอยค่ะ
สินค้า 1 อย่าง อาหาร 2 อย่างนะคะ──"
produce_events30200120298,透,２つ\nいる？,"มี 2 อันน่ะ
เอามั้ย？"
produce_events30200120299,小糸,え……！,เอ๊ะ……！
produce_events302001202105,小糸,と、透ちゃん、ありがとう……！\nいただきます……,"ทะ โทรุจัง ขอบคุณนะ……！
ทานล่ะนะคะ……"
produce_events302001202108,透,ふふっ\nイエー,"หุหุ
เย้ー"
produce_events302001202109,小糸,筋肉痛、早く治るといいね……,ถ้าหายปวดกล้ามเนื้อเร็วๆก็ดีนะ……
produce_events302001202111,透,んー,อืมー
produce_events302001202112,小糸,す、素敵な夏になるんだもんね……！,ปะ เป็นฤดูร้อนที่ยอดเยี่ยมเลยนะ……！
produce_events302001202114,透,ふふっ、んー,หุหุ อืมー
produce_events302001202115,透,…………,…………
produce_events302001202118,透,…………あ,…………อ๊ะ
produce_events302001202119,小糸,……？,……？
produce_events302001202121,透,ねー\nアイス,"นี่
ไอติม"
produce_events302001202122,小糸,え？,เอ๊ะ？
produce_events302001202123,小糸,ぴぇ……！\nま、また当たり……！,"เปี๊ยะ……！
ดะ ได้โชคดีอีกแล้ว……！"
produce_events302001202124,透,んー\nやべー,"อืมー
แย่แล้วสิー"
produce_events302001202128,小糸,す、素敵な夏……増えちゃったね,"มะ มีฤดูร้อนที่ยอดเยี่ยม……
เพิ่มขึ้นอีกแล้วนะ"
produce_events302001202129,透,え？　おー……,เอ๊ะ？โอ้ー……
